Org Comment,ISBN,Title,Author,Edition,Copyright,Publisher
No course listed,9780226206813,Writing Ethnographic Fieldnotes,"Fretz, RI",1st,1995,University of Chicago Press
Master DOC; DOC,9780226313351,Civilising Subjects,"Hall, Catherine",1,2002,University Of Chicago Press
"Master DOC, PDF; DOC, MP3",9780226462264,Criminal Intimacy,Kunzel,1,2008,Chicago
"Master DOC, PDF; DOC",9780226568102,Invisible Lives,"Namaste, Viviane",1st,2000,University Of Chicago Press
"Master PDF; DOC, PDF",9780226726717,Hollow Hope: Can Courts Bring About Social Cha,Gerald N. Rosenberg,2nd,2008,University Of Chicago Press
"Incomplete DOC, KES, PDF",9780231105170,Extraordinary Bodies,Thompson,,1996,Columbia University Press
Master PDF,9780231122375,Mahatma Gandhi: Nonviolent Power in Action,"Dalton, Dennis",1,2000,Columbia University Press
"Master DOC; MP3, DOC done",9780252066450,Two-Spirit People,"Jacobs, Thomas",1st,1997,University of Illinois Press
Master DOC; DOC done,9780253208781,Practice of Love: Lesbian Sexuality,"de Lauretis, Teresa",Paper,1994,Indiana University Press
PDF,9780253214690,Introduction to Documentary,"Nichols, Bill",,2001,Indiana University Press
"Master TIF; DOC, KES, PDF",9780253219138,Girls for sale: a play from colonial India,Gurujada Venkata Apparao,,2007,Indiana University Press
Master TXT; DOC done,9780256139884,"Marketing Game, The",Mason & Perreault,3rd,2002,McGraw-Hill Higher Education
Master PDF,9780262571616,Essays on Nonconceptual Content,Gunther,,2003,The MIT Press
"Master PDF, DOC; DOC done",9780262112604,Architectures of Time: Toward a Theory of the Event in Modernist Culture,"Kwinter, Sanford",,2001,The MIT Press
"Master PDF; Some DOC, PDF, TXT",9780262693554,"Moral Psychology, Volume 3","Sinnott-Armstrong, Walter",,2008,The MIT Press
"Master PDF, DOC; Some DOC, PDF, TXT, OPD",9780262693578,"Moral Psychology, Volume 2","Sinnott-Armstrong, Walter",,2008,The MIT Press
PDF,9780273717843,Essentials of Global Marketing,Hollensen,Illustrate,2009,Prentice Hall
"TIF, KES",9780275993597,Movies and the Modern Psyche,Sharon Packer,,,Praeger
"DOC, PDF, incomplete TIF",9780295952895,America is in the Heart,"Bulosan, Carlos",,1973,University of Washington Press
"DOC, KES, TIF",9780295959894,Citizen 13660,Min‚ Okubo,,1946,University of Washington Press
"Master TIF; DOC, PDF, MP3 done (was already there)",9780295973395,Margins and mainstreams: Asians in American history and culture,Gary Y. Okihiro,,1994,University of Washington Press
Book DNE in course,9780300000818,"The Records of the Federal Convention of 1787, Vol 2","Farrand, Max",,1967,Yale University Press
"Master DOC; DOC done, some PDF",9780300042634,Sugar Creek,"Faragher, John Mack",,1988,Yale University Press
"Master DOC, PDF; DOC, PDF",9780300050608,The Democratization of American Christianity,"Hatch, Nathan O.",,1991,Yale University Press
Book DNE,9780300088694,Islamic Art and Architecture,Richard Ettinghausen,2,2003,Yale University Press
"Master PDF, DOC",9780300136227,Stalin's Wars - 6e,Roberts,6th,2006,Triliter
DOC done,9780307275202,Unbowed: A Memoir,"Maathai, Wangari",Paperback,2007,Anchor
Master TIF; DOC,9780307387141,Love in the Time of Cholera,Gabriel Garcia Marquez,,2007,Vintage Books
Master PDF,9780309076401,The End of Stress As We Know It,Bruce McEwan,,2002,Joseph Henry Press
"DOC, KES, PDF (Only pg155-166)",9780312055776,D.H. Lawrence's Literary Inheritors,Cushman & Jackson,,1991,Palgrave Macmillan
Master DOC; DOC done,9780312296193,Foreign Policy Analysis: A Comparative Introduction,Marijke Breuning,,2007,Macmillan
"TIF, DOC done",9780312318888,The Emotional Toolkit: Seven Power-Skills to Nail Your Bad Feelings,Darlene Mininni,1,2006,St. Martin's Griffin
Master PDF (5E),9780312397678,A Writer's Reference,Diana Hacker,5th,2002,Bedford/St. Martin's
"Master TIF; PDF, DOC done",9780312406998,"Europe in the contemporary world, 1900 to the present: a narrative history with documents",Bonnie G. Smith,,2007,Bedford/St. Martin's
"DOC, KES, MP3, TIF, PDF",9780312425791,Can't Stop Won't Stop,"Chang, J; DJ Kool Herc",,2005,Picador
"MP3, KES, only Ch4 RTF",9780312535025,Student's Guide to History,Benjamin R. Jules,10,2007,Bedford
"KES, TIF",9780312468873,Through Women's Eyes,Ellen Carol Dubois,2,2008,Bedford/St. Martin's
PDF done,9780312555283,Contemporary Linguistics,"O'Grady, Archibald, Aronoff, & Rees-Miller",6th,2009,Bedford/St. Martin's
"Master DOC, PDF; DOC, PDF done",9780313316968,The History of Congo,"Gondola, Ch. Didier",,2002,Greenwood Press
Master PDF,9780314191281,"International Law, Cases and Materials","Damrosch, L.",5th,2009,West
"TIF, DOC",9780314195401,"Employment Law in a Nutshell, Third Edition",Robert N. Covington,3,2009,West Law School
"PDF, DOC",9780314982544,"California Civil Practice Statutes and Rules Annotated, 2009 ed. (California Desktop Codes)",WEST PUBLISHING,,2008,Thomson West
Master PDF,9780314986429,"California Penal Code, 2010 ed.",West,,2010,Thomson West
"DOC, MP3",9780316022361,A Different Mirror: History of Multucultural Amer,Ronald Takaki,,2008,Back Bay Books
"Master TIF, PDF",9780316154529,The Hummingbird's Daughter,Luis Alberto Urrea,,2006,LittleBrown and Company
"Master PDF, KES",9780316708517,The French Lieutenant's Woman Screenplay,Pinter,1st,1981,Little Brown & Co
"DOC, KES",9780321244239,"Global Issues, Local Arguments: Readings for Writi","Johnson, June",,2006,Longman
Master TIF,9780321263544,Distributed Systems: Concepts and Design,Dollimore,4,2005,Addison Wesley
"DOC, TXT",9780321277664,Research and Writing in International Relations,"Roselle, Spray",,2007,Longman
"PDF, DOC",9780321433329,Data Abstraction and Problem Solving,"Carrano, Frank M.",5th,2006,Addison Wesley
"DOC, PDF",9780321441690,Revising Prose,Lanham,5th,2006,Longman (Pearson)
PDF & PUB PDFs,9780321501554,Principles of Animal Physiology,Christopher D. Moyes,2,2008,PEARSON HIGHER EDUCATION
"OPD, PDF, PUB PDFs",9780321524041,Concepts of genetics,William S. Klug,9,2009,Pearson Benjamin Cummings
PDF,9780321611116,Physics with Mastering Physics,James S. Walker,4,2008,Addison Wesley Higher Education
"DOC, KES, PDF",9780321543257,Biology (OE),"Campbell, Neil A.; Reece, Jane B.",8th,2007,Benjamin Cummings
"PDF, MP3",9780321568090,Conceptual Physics,Hewitt,11,2010,Pearson
PDF,9780321580023,Human Geography,Knox;Marston,5th,2010,Prentice Hall
Book DNE,9780321602008,Study Guide and Selected Solutions Manual for Physics,David Reid,4,2009,Addison-Wesley LongmanIncorporated
PDF,9780321666048,Introduction to Chemical Principals,H. Stephen Stoker,10,,PEARSON HIGHER EDUCATION
"DOC, KES, PDF, OPD (was already there)",9780321668127,Essentials of Oceanography,Alan P. Trujillo,10th,2010,Prentice Hall
"DOC, KES, PDF",9780323024525,Motor Speech Disorders,Duffy,2nd,2005,Mosby
"DOC, KES",9780323039635,Wong's Nursing Care of Infants and Children,"Marilyn J. Hockenberry, David Wilson",2nd,2006,Prentice Hall
"KES, DOC",9780323045315,Introduction to Neurogenic Communication Disorders,Brookshire,7th,2007,Mosby-Elsevier
"Master DOC; DOC, only pg248 PDF",9780323046756,Psychiatric Mental Health Nursing,Katherine M. Fortinash,4,2007,Mosby
"Master PDF, DOC, PDF, KES, some OPD",9780323054706,Medical microbiology,Patrick R. Murray,6th,2009,Mosby/Elsevier
Master PDF; PDF,9780324223040,Business Communication: Process and Product,Guffey,6th,2005,South-Western - Cengage
DOC,9780324381979,Financial Accounting,Stickney,12,2007,Thomson
"PDF done, DOC missing some",9780324422696,Financial Management: Theory and Practice (+Now +O,Brigham and Ehrhardt,12th,2007,Cengage
"PDF, DOC done",9780324538090,Professional Selling: A Trust-Based Approach,Thomas N. Ingram,4,2007,South-Western College Publishers
"PDF done, some DOC",9780324542905,Business Communication: Process and Product,Mary Ellen Guffey,6,2008,CENGAGE
DNE,9780324805543,Managerial Economics (SFSU CUSTOM),"Hirschey, Mark",12,2008,South-Western (Cengage)
"DOC done, PDF (only ch1)",9780324588002,Essen of Business Communication,Mary Ellen Guffey,,2009,South-Western College Publishing
Master PDF,9780324590999,Global Strategy,"Peng, Mike W.",2nd,2008,South-Western College Pub
"Master Original/SFSU Custom; PDF, MP3 DOC for Original",9781111030117,Management (SFSU CUSTOM),"Daft, Richard L.",9th,2009,Thomson
Master PDF; Some DOC/TIF,9780324649673,International Business Law and Its Environment,"Schaffer, Richard; Aqusti, Filiberto; Earle, Bever",7th,2008,South-Western College/West
"Master PDF; PDF, RTF, MP3 done",9780324655780,Bank Management,"Koch, Timothy",7,2009,South-Western College
"Master PDF; Some DOC, other PDF",9780324681710,Marketing Strategy,FERRELL/HARTLINE,4,2007,Cengage
PDF done,9780324786927,Information Technology Project Management,Kathy Schwalbe,6,,Course Technology
DOC done,9780868632964,"Follow Me, Moon: The Concepts about Print Test","Clay, Marie M.",,2000,Heinemann
incomplete DOC,9780333922828,Community Psychology: In Pursuit of Liberation and Well-Being,Nelson,,2004,Palgrave Macmillan
"Master PDF, DOC done",9780335223664,SPSS Manual: A Step by Step Guide to Data Analysis,Julie Pallant,,2007,Open University Press/McGraw Hill
Book already there,9780340888926,International communication: continuity and change,Daya Kishan Thussu,2nd,2006,Hodder Arnold
DOC & PDF done,9780345350473,Blade runner: (Do androids dream of electric sheep),Philip K. Dick,,1982,Random House DigitalInc.
"Master DOC, MP3 incomplete",9780394729640,Montaillou,Emmanuel Le Roy Ladurie,,1979,Vintage (Random)
"Master PDF, DOC",9780375700026,The Gangster We Are All Looking For,Thi Diem Thuy Le,,2004,Anchor
DOC & PDF done,9780375702624,The Name of War,"Lepore, Jill",,1999,Vintage
"PDF & TIF done, DOC incomplete",9780394527789,Trouble in mind: Black southerners in the age of Jim Crow,"Litwack, F. L",,1998,Knopf
Book not listed in the course folder,9780375706851,My Name Is Red,"Pamuk, Orhan",,2002,Vintage
Book not listed in the course folder,9780385264662,Palace Walk,Naguib Mahfouz,,1990,Anchor
"DOC, KES, PDF done",9780385312523,Having Our Say: The Delany Sisters' First 100 Years,Sarah Louise Delany,,1997,Dell
"DOC & PDF done, KES missing EM & FM",9780385471077,A Taste of Power: A Black Woman's Story,Elaine Brown,,1993,Anchor Books
Book not listed in the course folder,9780393008470,Five Lectures on Psycho-Analysis,"Freud, Sigmund",Standard,1990,W. W. Norton & Company
Book not listed in the course folder,9780393094190,Essays on the American Revolution,Kurtz G Stephen,,1973,W. W. Norton and Company
Book not listed in the course folder,9780393308556,The book of embraces,Eduardo H. Galeano,,1992,W.W. Norton
"RTF, PDF & MP3 done",9780393316704,Genesis: Translation and Commentary,Robert Alter,,1997,W.W. Norton & Co.
DOC & PDF done,9780393320978,Beowulf: a new verse translation,Seamus Heaney,,2001,W. W. Norton & Company
"DOC, PDF, MP3 done",9780393320992,Roaring Camp,Johnson,,2000,Norton
"Master PDF, DOC done",9780393020250,The Tragedy of Great Power Politics,MEARSHEIMER,1,2003,W.W. Norton & Co.
"Master PDF, DOC, TXT",9780393324945,"American Slavery, American Freedom","Morgan, Edmund S.",,2003,W. W. Norton & Company
DOC done,9780393057867,"In the Presence of Mine Enemies: War in the Heart of America, 1859-1863","Ayres, E.",,2003,W. W. Norton & Company
Book already there,9780393326710,9/11 Commission Report,Natl Comm Terror,auth,,Norton
DOC & PDF done,9780393326987,Ishi's Brain: In Search of America's Last,Starn Orin,,2004,NORTON
DOC & PDF done,9780393060959,Inventing Human Rights: A History,"Hunt, Lynn",,2008,W.W. Norton
Book already there,9780393930252,Sir Gawain and the Green Knight: A New Verse Translation,Simon Armitage,,2008,W W Norton & Co Inc
Book not listed in the course folder,9780393927979,Fathers and Children (Norton Critical Editions),"Turgenev, Ivan",1ed,2007,W. W. Norton
PDF done,9780393930443,Judicious Choices (P),Silverstein,2nd,2007,W. W. Norton & Co
"KES done, DOC missing EM & FM",9780393931198,Psychological Science,Gazzaniga,3,2009,Wiley
PDF done,9780393932188,Storm Center: The Supreme Court in American Politics,"O'Brien, David M.",8th,2008,W. W. Norton & Company`
Master DOC,9780393979831,Film Analysis: A Norton Reader,"R.L. Rutsky, Jeffrey Geiger",1st,2005,W.W. Norton
DOC done,9780394738628,Herculine Barbin (Being the Recently Discovered Memoirs of a Nineteenth Century French Hermaphrodite,Michel Foucault,1,1980,Vintage
"DOC, KES, PDF done",9780394743271,Where Water Comes Together With Other Water: Poems,"Carver, Raymond",1,1986,Vintage
DOC & PDF done,9780395970522,Lives and Voices: Sources in European Women's Hist,DiCaprio & Wiesner,1st,2000,Wadsworth
DOC done,9780415901321,"Essentially Speaking: Feminism, Nature and Differenc","Fuss, Diana",,1989,Routledge
Book already there,9780415908641,Racial formation in the United States: from the 1960s to the 1990s,Michael Omi,2nd,1994,Psychology Press
"Master PDF, DOC done",9780415930987,In Their Time: A History of Feminism in Western So,"LeGates, Marlene",1st,2001,Routledge
"Partial PDF, DOC, TXT, KES, MP3",9780415933742,Harry Potter's World: Multidisciplinary Critical P,"Heilman, Elizabeth E.",,2003,Routledge
"DOC, KES & PDF done",9780415950572,"Global Lockdown: Race, Gender, and the Prison-Industrial Complex",Julia Sudbury,,2005,Routledge
DOC done,9780415951500,Black Sexual Politics,Patricia Hill Collins,Paper,2005,Routledge
"Partial PDF, TXT, KES",9780415960366,Gothic in Children's Literature,McGillis,1,2007,Routledge
DOC done,9780439926447,Reading Zone,"Atwell, Nancie",,2007,HARPER
"DOC, MP3 &  PDF done",9780440314882,Coming of age in Mississippi,Anne Moody,,1976,Dell
Master KES & PDF,9780451167781,A Streetcar Named Desire,Tennessee Williams,25th,1986,Signet
Book already there,9780451528247,The Classic Slave Narratives,Gates,,1987,Peng-U
KES done,9780451529107,CHILD OF THE DARK,DE JESUS C,,2003,Signet Classics
DOC done,9780451529305,Little Women,Louisa May Alcott,,2004,Signet Classics
"DOC done, MP3 missing EM",9780452265981,Coming out Under Fire,Berube,,1991,Plume
DOC done,9780452271371,Cancer as a Turning Point,Lawrence LeShan,,1994,Penguin USA
Master KES & PDF,9780452271685,When heaven and earth changed places: a Vietnamese woman's journey from war to peace,Le Ly Hayslip,,1990,Plume
Book not listed in the course folder,9780452286788,Filmmaker's Handbook (Completely Rev and Upd),"Ascher,Steven; Pincus, Edward",,2007,Plume
"DOC & PDF done, MP3 missing FM",9780465010202,Homeward Bound,May,,2008,Basic Books
"DOC, MP3 & PDF done",9780465026210,Gay New York,Chauncey,,1994,Basic Books
DOC done,9780465037070,Just And Unjust Wars: A Moral Argument With,"Walzer, Michael",Paper,2006,Basic Books
DOC & KES done,9780465075096,Summer for the Gods: The Scopes Trial and America',Edward J. Larson,,1997,Harper Collins Publishers
KES & PDF done,9780470084595,"Tourism: Principles, Practices, Philosophies",Goeldner & Ritchie,11th,2008,Wiley
ook not listed in the course folder,9780470086322,Counseling the Culturally Diverse,Derald Sue,5th,2007,Wiley
"PDF & MP3 done, DOC missing Body",9780470128848,Financial Accounting,"Weygandt, Jerry J.",6,2007,Wiley
PDF done,9780470180723,Precalculus: A Prelude to Calculus,Sheldon Axler,1,2008,John Wiley & Sons
PDF done,9780470233313,Business Math for Dummies,Mary Jane Sterling,,2008,Wiley
KES done,9780470279274,Design of Reinforced Concrete,Jack C. McCormac,8,2008,Wiley
DOC & MP3 missing EM & FM,9780470325049,Pkg 2: Operations Management w/Wiley plus,"Reid,",4th,2010,John Wiley & Sons
DOC & MP3 missing EM & FM,9780470374948,Intermediate Accounting,Donald E. Kieso,13th,2009,John Wiley & Sons
"DOC, KES, PDF done",9780470383704,Turning on Learning,Grant & Sleeter,5th,2008,Wiley
Book already there,9780470392232,Understanding motivation and emotion,Johnmarshall Reeve,5th,2008,John Wiley & Sons
Book already there,9780470393338,Mastering Corporate Finance Essentials: The Critic,Stuart A. McCrary,,2010,Wiley
